rt,url,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,button_pressed,test_part,boxes_type,utt_type,correct_side,responses,subid,accuracy
16771.82999999968,recaptcha.html,external-html,0,16824,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,amln_fjbh_yqoe,NA
5548.3449999992445,consent/consent.html,external-html,1,22405,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,amln_fjbh_yqoe,NA
906.9799999997485,NA,html-button-response,2,23317,0.0-2.0,"<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.",0,setup,NA,NA,NA,NA,amln_fjbh_yqoe,NA
1421.0199999997712,NA,html-button-response,3,26740,0.0-3.0-0.0,"<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>",0,setup,NA,NA,NA,NA,amln_fjbh_yqoe,NA
1546.9199999988632,NA,html-button-response,4,28292,0.0-3.0-1.0,"<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma zem zorp bidaku midu osh gipu!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>",0,setup,NA,NA,NA,NA,amln_fjbh_yqoe,NA
781.1899999996967,NA,html-button-response,5,29079,0.0-3.0-2.0,"<p>Which box do you think Dax was looking in when he said<br><i>""Toma zem zorp bidaku midu osh gipu!""</i>?</p><div style='width: 700px;'></div>",1,test,num,complex,1,NA,amln_fjbh_yqoe,1
5364.415000000008,NA,survey-text,6,34478,0.0-4.0,NA,NA,comment,NA,NA,NA,wonderful,amln_fjbh_yqoe,NA
819.084999999177,NA,html-button-response,7,35301,0.0-5.0,<p>This is the end of the study. Thank you for participating!</p>,0,NA,NA,NA,NA,NA,amln_fjbh_yqoe,NA
14992.80000012368,recaptcha.html,external-html,0,15007,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,anut_zzad_gqho,NA
10951.829999918118,consent/consent.html,external-html,1,25965,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,anut_zzad_gqho,NA
2668.5450000222772,NA,html-button-response,2,28636,0.0-2.0,"<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.",0,setup,NA,NA,NA,NA,anut_zzad_gqho,NA
2247.3649999592453,NA,html-button-response,3,32895,0.0-3.0-0.0,"<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>",0,setup,NA,NA,NA,NA,anut_zzad_gqho,NA
2848.354999907315,NA,html-button-response,4,35745,0.0-3.0-1.0,"<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>",0,setup,NA,NA,NA,NA,anut_zzad_gqho,NA
3078.3400000073016,NA,html-button-response,5,38825,0.0-3.0-2.0,"<p>Which box do you think Dax was looking in when he said<br><i>""Toma!""</i>?</p><div style='width: 700px;'></div>",0,test,entropy,simple,1,NA,anut_zzad_gqho,0
2397.4249998573214,NA,survey-text,6,41226,0.0-4.0,NA,NA,comment,NA,NA,NA,,anut_zzad_gqho,NA
2008.1850001588464,NA,html-button-response,7,43235,0.0-5.0,<p>This is the end of the study. Thank you for participating!</p>,0,NA,NA,NA,NA,NA,anut_zzad_gqho,NA
14195.86499966681,recaptcha.html,external-html,0,14270,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,aopn_sytf_unlx,NA
27147.789999842644,consent/consent.html,external-html,1,41728,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,aopn_sytf_unlx,NA
3123.7949999049306,NA,html-button-response,2,44855,0.0-2.0,"<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.",0,setup,NA,NA,NA,NA,aopn_sytf_unlx,NA
9179.37000002712,NA,html-button-response,3,56039,0.0-3.0-0.0,"<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>",0,setup,NA,NA,NA,NA,aopn_sytf_unlx,NA
30149.459999985993,NA,html-button-response,4,86191,0.0-3.0-1.0,"<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma zem zorp bidaku midu osh gipu!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>",0,setup,NA,NA,NA,NA,aopn_sytf_unlx,NA
9698.420000262558,NA,html-button-response,5,95895,0.0-3.0-2.0,"<p>Which box do you think Dax was looking in when he said<br><i>""Toma zem zorp bidaku midu osh gipu!""</i>?</p><div style='width: 700px;'></div>",0,test,type,complex,0,NA,aopn_sytf_unlx,1
44439.544999971986,NA,survey-text,6,140345,0.0-4.0,NA,NA,comment,NA,NA,NA,colour box,aopn_sytf_unlx,NA
